Mapping Ref,Ref,Project Name ,Sponsor ,LA,Pipeline First Cut ,Known HE involvement?,Postcode,Developer ,One Line Summary ,Number Of Units ,Site Size (hectares),Greenfield/Brownfield,Place-based Pipeline Y/N,Place-based Pipeline Link,Mix,SPP Priority Area Y/N,SPP Priority Area,Planning  Status ,Developer Status ,Land Ownership Type ,Procurement Route ,Enabling Works Start,Housing Start,Project Completion Date ,Market Failure Type,Intervention Required?,Revenue / Development Ask ,Intervention Type,Constraints,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
244,STH010,Moss Nook Phase 4,St Helens,St Helens,Long,0,WA9 3ZS,Harworths,200 unit site in Sutton part of wider brownfield development,200,4,Brownfield,No,,,Yes,Moss Nook,Outline/Hybrid consent granted,D/C/RP procurement/negotiations underway,Single Private,,,,,,0,,Contaminated land,The site cannot be brought forward for residential development until the replacement sports pitches are delivered as part of Phase 2. It is not envisaged that the Council will receive an application for housing until 2029,,,,,,,,,
245,STH011,Raven Lodge and Church Street,St Helens,St Helens,Short,1,WA10 1AJ,Abbey Group,"38 unit site, conversion of existing public house and new build",38,0.15,Brownfield,Yes,St Helens Multimodal Interchange Phase 2,Private,Yes,St Helens Town Centre,Allocated and/or planning application,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Single Private,,2026/27,2026/27,2027/28,Public good issue,0,,Viability gap,Viability gap of build cost vs development returns in this location,,,,,,,,,
246,STH013,Watson Street,St Helens,St Helens,Long,1,WA10 3JY,,764 unit site in St Helens Town Centre,764,8.12,Brownfield,Yes,St Helens LCWIP,TBD,Yes,Watson Street/St Helens Town Centre,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,No Developer/Contractor/RP in place,Single Private,,2026/27,2028/29,2039/40,Imperfect information,0,,"Remediation, viability gap. Homes England intervention is also required in the form of revenue funding to support the preparation of technical due diligence for the site and securing outline planning permission.  Potential to assist with the procurement of a developer partner/ECF to lead on delivery.",Costs associated with demolition and remediation,,,,,,,,,
247,STH014,Central Works,St Helens,St Helens,Long,0,WA11 0GT,,1.35 hectacre site in Haydock identified in St Helens Strategic Housing Land Availability Assessment (2024),Unknown,1.35,Brownfield,No,,TBD,No,,"No Allocation, No Planning Permission, expired permission or other ",No Developer/Contractor/RP in place,Single Private,TBD - site is in private ownership and not actively marketed,2028/29,2030/31,2032/33,Imperfect Information,0,,Remediation and viability,Viability ,,,,,,,,,
248,STH015,"Former Bethell Mission, Marsden Avenue",St Helens,St Helens,Medium,0,WA10 4JL,,10 unit site identified in St Helens Strategic Housing Land Availability Assessment (2024),10,0.15,Brownfield,No,,TBD,No,,"No Allocation, No Planning Permission, expired permission or other ",No Developer/Contractor/RP in place,Single Private,,2026/27,2027/28,2028/29,Institutional failure at local level,0,,Viability gap ,Brownfield land,,,,,,,,,
249,STH016,"Former British Lead Milll works, Salisbury Street",St Helens,St Helens,Long,0,WA9 1JB,,19 unit site identified in SHLAA (2024) on formed Lead Mill works,19,1.01,Brownfield,No,,TBD,No,,"No Allocation, No Planning Permission, expired permission or other ",No Developer/Contractor/RP in place,Unknown,,2028/29,TBD,TBD,Institutional failure at local level,0,,Remodeling market; land assembly; Site investigations and optioneering; Viability,"Acces issues (access via a low bridge), known contamivation, possible mine shafts.",,,,,,,,,
250,STH017,"Former Pumping Station,Sutton Road",St Helens,St Helens,Long,0,WA9 3EW,,10 unit site identified for housing near the Moss Nook development,10,0.27,Brownfield,No,,TBD,Yes,Moss Nook,"No Allocation, No Planning Permission, expired permission or other ",No Developer/Contractor/RP in place,Single Private,,TBD,TBD,TBD,Institutional failure at local level,0,,Remediation,Demolition of existing structure,,,,,,,,,
251,STH018,Land north and south of Corporation Street,St Helens,St Helens,Long,0,WA9 1JU,,169 unit site identified for housing near St Helens Central,169,3.23,Brownfield,No,,TBD,No,,0,No Developer/Contractor/RP in place,Unknown,,2027/28,2028/29,,Institutional failure at local level,0,,"Site investigations, remediation",Former industrial land,,,,,,,,,
252,STH019,Northern Gateway (Union Street area),St Helens,St Helens,Long,0,WA10 2BE,,500+ unit site allocated for housing and suitable for regeneration near Cowley Hill,500,50,Brownfield,No,,TBD,No,,"No Allocation, No Planning Permission, expired permission or other ",No Developer/Contractor/RP in place,Mixed - Public/Private ,,2028/29,TBD,TBD,Public good issue,0,,,"Mulitple landowners.   Brownfield, possibly contamination.",,,,,,,,,
253,STH020,"St Helens  Town Centre, phase one",St Helens,St Helens,Short,1,WA10 1DJ,,"Plans submitted for 138 flats and 2,065 sq ft of commercial space at block D of previously developed site. Troubled site with completed blocks A, B, C and E subject to ASB and building regs issues. Previous developer is in administration and funding support needed to facilitate the site being in single ownership and to address viability issues including retrospective remediation to earlier build out. Securing the development of the site will remove a significant neighbourhood and city blight and bring forward a high number of housing units in a key location.",61,,Brownfield,Yes,St Helens Multimodal Interchange Phase 2,TBD,Yes,St Helens Town Centre,Outline/Hybrid consent granted,D/C/RP procurement/negotiations underway,Mixed - Public/Private ,,2025-03-01 00:00:00,2025-10-01 00:00:00,TBD,,0,,Viability gap,Reserved Matters Planning Approval required (target Summer 2025),,,,,,,,,
254,STH021,St Helens Town Centre Phase 2,St Helens,St Helens,Long,0,WA10 1DJ,,"452 unit site within wider St Helens Town Centre, continuing on from phase one works",452,,Brownfield,Yes,St Helens Multimodal Interchange Phase 3,TBD,Yes,St Helens Town Centre,Outline/Hybrid consent granted,No Developer/Contractor/RP in place,Mixed - Public/Private ,,Post-2026,TBD,TBD,Institutional failure at local level,0,,Viability gap,Viability,,,,,,,,,
255,STH022,Sussex Grove,St Helens,St Helens,Medium,0,WA9 1QH,,45 unit site identified in SHLAA in Fingerpost and Parr,45,1.18,Brownfield,No,,TBD,Yes,Fingerpost & Parr,"No Allocation, No Planning Permission, expired permission or other ",No Developer/Contractor/RP in place,Unknown,,2026/27,2027/28,2029/30,Institutional failure at local level,0,,Remediation,Contamination and former coal mining.,,,,,,,,,
256,STH023,Sutton Road,St Helens,St Helens,Long,0,WA9 3DZ,,36 unit site identified in SHLAA near to Moss Nook site,36,1.2,Brownfield,No,,TBD,Yes,Moss Nook,"No Allocation, No Planning Permission, expired permission or other ",,Unknown,,2028/29,2029/30,TBD,Imperfect information,0,,Viability gap,Cessation of current use as charity warehouse.  Viablity. ,,,,,,,,,
257,STH024,Ullswater Avenue,St Helens,St Helens,Short,1,WA11 7EL,Torus,75 unit site identified in SHLAA in Moss Bank area. Minus the 33 in Torus Submission,42,1.49,Brownfield,No,,Affordable,No,,"No Allocation, No Planning Permission, expired permission or other ",Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Single Private,,2025/26,2026/27,2028/29,Institutional failure at local level,0,,Remediation,"Enabling works required including road, drainage and site servicing",,,,,,,,,
258,KNO001,Church Street,Knowsley,Knowsley,Short,1,L34 3LA,LIVV Housing,24 unit site of affordable apartments in Prescot,24,0.09,Brownfield,Yes,Prescot Town Centre,Shared ownership,Yes,Prescot Town Centre,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Public,Council land disposal,2026/27,2026/27,2027-29,Market power,1,,Viability gap,Development viability,,,,,,,,,
259,KNO002,Former Penny Black Pub,Knowsley,Knowsley,Short,0,L35 3XZ,TJ Thomas Estates,8 unit site on former pub site on Lickers Lane,8,,Brownfield,No,,,No,,Allocated and/or planning application,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Unknown,Unknown,2025,2025,2026,Market power,0,,Viability gap,Development viability,,,,,,,,,
260,KNO003,Gaywood Green,Knowsley,Knowsley,Short,0,L32 7PA,LIVV Housing,"74 unit site of new affordable homes, associated infrastructure and open space",74,,Brownfield,Yes,Kirkby Town Centre,,No,,0,Procurement/ Negotiations underway ,Unknown,,2025,2025,2028,,0,,,,,,,,,,,,
261,KNO004,Halsnead Lickers Lane,Knowsley,Knowsley,Short,0,L35 3QE,Cobalt Housing,136 unit site on a residential/former colliery site. Minus the 66 in Cobalt Submission ,70,,Brownfield,No,,Shared ownership,No,,0,,Unknown,,2027,2027,2029,,0,,,,,,,,,,,,
262,KNO005,Hollow Croft,Knowsley,Knowsley,Short,0,L28 4EA,,80 unit site in Stockbridge Village to be taken to market in 2025,80,,Brownfield,No,,,No,,"No Allocation, No Planning Permission, expired permission or other ",No Developer/Contractor/RP in place,Public,Council land disposal,2026/27,2026/27,2027-29,,0,,Site investigations,"Requirement to relocate an existing substation to remove an easement. Viability challenges due to contractor availability and increasing construction costs, coupled with design improvements required to respond to New Building Regulations and the Building Safety Act",,,,,,,,,
263,KNO006,Huyton Town Centre,Knowsley,Knowsley,Medium,1,L36 9DG,Gener8 and Kajima,"400 unit site in Huyton Town Centre, Torus delivering first phase listed above of 73 units",327,2.8,Brownfield,Yes,Huyton Town Centre,"Shared ownership, other affordable including social",Yes,Huyton Town Centre,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Public,Council land disposal,2026/27,2026/27,2030,Market Power,1,,Viability gap and enabling works,Development viability,,,,,,,,,
264,KNO007,Kirkby Gateway Site,Knowsley,Knowsley,Medium,0,L32 8XY,,100 unit site opportunity in Kirkby Town Centre,100,1.35,Brownfield,Yes,Kirkby Town Centre,,No,Kirkby Town Centre,"No Allocation, No Planning Permission, expired permission or other ",No Developer/Contractor/RP in place,Public,Council land disposal,2026,2027/28,2028-30,Market Power,0,,,Site Investigations required.,,,,,,,,,
265,KNO008,Little Moss Hey,Knowsley,Knowsley,Medium,0,L28 5RL,,180 unit site opportunity in Stockbridge Village,180,4.59,Greenfield,No,,TBC,No,,"No Allocation, No Planning Permission, expired permission or other ",No Developer/Contractor/RP in place,Public,Council land disposal,2028,2028,2032,Market Power,0,,Viability gap,"Multiple landowners - the Archdiocese have marketed their part of the site individually, which could result in only part of the site coming forward.",,,,,,,,,
266,KNO009,North Huyton Phase 5,Knowsley,Knowsley,Medium,0,L36 3SD,LIVV Housing,450 unit site in North Huyton Masterplan Area,450,11,Brownfield,No,,TBC - Affordable,No,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Mixed - Public/Private ,Council land disposal,2028,2028,2033,Market Power,0,,Viability gap,Development viability,,,,,,,,,
268,KNO011,Prescot Town Centre,Knowsley,Knowsley,Medium,1,L34 5GA,Cityheart,116 unit site in Prescot TC to enable mised use residential led development,116,1.7,Brownfield,Yes,Prescot Town Centre,BTR/Affordable (TBC),Yes,Prescot Town Centre,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Public,Council land disposal,2026/27,2026/27,2028-30,Market Power,1,,Viability gap,Development viability,,,,,,,,,
116,LIV031,New Town [Liverpool City Area],Liverpool,Liverpool,Long,0,See boundary,Unknown atm,"Expression of interest for NorthLiv to be granted new town status, boundary covers 2500 sites.",2499,,Brownfield,Yes,North Liverpool,"80% private, 20% affordable",Yes,North Liverpool Regeneration,"No Allocation, No Planning Permission, expired permission or other ",No Developer/Contractor/RP in place,Mixed - Public/Private ,Not known atm,2028/29,2029/30,2039/40,Coordination Failure,1,500000,"Acquisition, site investigations, viability gap","Multiple land owners, stalled sites, site viability, ground conidtions",,,,,,,,,
270,BLF001,Pasture Road Alpha ,Alpha,Wirral,In Delivery,0,,Alpha,,81,,Brownfield,,,,,,,,,,,,2026-03-01 00:00:00,,0,,,,,,,,,,,,
271,BLF002,Cherryfield Drive ,Barratt,Knowsley,In Delivery,0,,Barratt,,800,,Brownfield,,,,,,,,,,,,2027-10-01 00:00:00,,0,,,,,,,,,,,,
272,BLF003,Sutton Arms ,Childwall Homes,St Helens,In Delivery,0,,Childwall Homes,,12,,Brownfield,,,,,,,,,,,,2025-07-01 00:00:00,,0,,,,,,,,,,,,
117,LIV033,LCC Small Sites Programme (short(,Liverpool,Liverpool,Short,0,Various ,Multiple,Collection of LCC small sites to deliver by end of 2028,396,,,,,,,,,,,,,,2028/29,,0,,,,,,,,,,,,
117,LIV034,LCC Small Sites Programme (medium),Liverpool,Liverpool,Medium,0,Various ,Multiple,Collection of LCC small sites to deliver by end of 2031,231,,,,,,,,,,,,,,2031-12-01 00:00:00,,0,,,,,,,,,,,,
275,BLF006,Thatto Heath ,Countryside ,St Helens,In Delivery,0,,Countryside ,,164,,Brownfield,,,,,,,,,,,,2026-03-01 00:00:00,,0,,,,,,,,,,,,
276,BLF007,Ibstock ,Countryside,St Helens,In Delivery,0,,Countryside,,243,,Brownfield,,,,,,,,,,,,2028,,0,,,,,,,,,,,,
277,BLF008,Parr Fire Station,Gradan Homes,St Helens,Complete,0,,Gradan Homes,,40,,Brownfield,,,,,,,,,,,,Complete,,0,,,,,,,,,,,,
278,BLF009,Hawthorne Road H21,H21,Sefton,In Delivery,0,,H21,Scheme will provide 30 new homes for social rent,91,,Brownfield,,,,,,,,,,,,2025-03-01 00:00:00,,0,,,,,,,,,,,,
279,BLF010,High Street Runcorn ,Halton Housing,Halton,In Delivery,0,,Halton Housing,,66,,Brownfield,,,,,,,,,,,,2027-02-01 00:00:00,,0,,,,,,,,,,,,
280,BLF011,Moss Nook P1,Harworth,St Helens,In Delivery,0,,Harworth,,258,,Brownfield,,,,,,,,,,,,2027-03-01 00:00:00,,0,,,,,,,,,,,,
281,BLF012,Foundry Lane,HBC,Halton,In Delivery,0,,HBC,,380,,Brownfield,,,,,,,,,,,,2029-12-01 00:00:00,,0,,,,,,,,,,,,
117,LIV032,Vescock Street,Liverpool,Liverpool,Short,0,L5 8US,Torus,"The scheme will deliver 25 affordable homes for Rent to Buy in North Liverpool, revitalising a cleared brownfield site through partnership with Place Capital. The development forms part of the wider North Liverpool Regeneration Zone, offering high-quality housing aligned to strategic housing and place-making objectives. Circa 125 in total ",125,0.83,Brownfield,Yes,North liverpool ,25x RTB ,Yes,North Liverpool Regeneration,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,D/C/RP procurement/negotiations underway,Public ,Package Agreement ,,2026-10-01 00:00:00,2028-10-01 00:00:00,,1,,"Viability gap funding, enabling works, and technical studies to confirm ground conditions",High abnormal costs for remediation; constrained market values in North Liverpool limiting scheme viability without public subsidy.,,,,,,,,,
269,HE001,Canning Place ,Homes England,Liverpool,Long,1,L1 8JX,,"Former Police Headquaters in prominent Liverpool Location. Likley to include Resi, hotel, retail, lesiure and commercial ",TBC,2.64,Brownfield,No ,,TBC,,,,,Public,,,,,,0,,,,,,,,,,,,
284,BLF015,Lickers Lane,Livv,Knowsley,Complete,0,,Livv,,26,,Brownfield,,,,,,,,,,,,Complete,,0,,,,,,,,,,,,
285,BLF016,Halton Court (Magenta),Magenta,Halton,Complete,0,,Magenta,,71,,Brownfield,,,,,,,,,,,,Complete,,0,,,,,,,,,,,,
286,BLF017,Pasture Road (Magenta),Magenta,Wirral,In Delivery,0,,Magenta,,44,,Brownfield,,,,,,,,,,,,2026-06-01 00:00:00,,0,,,,,,,,,,,,
287,BLF018,St Chads ,McCarthy Stone ,Knowsley,In Delivery,0,,McCarthy Stone ,,53,,Brownfield,,,,,,,,,,,,2026-12-01 00:00:00,,0,,,,,,,,,,,,
288,BLF019,Halton Court (Onward),Onward ,Halton,Complete,0,,Onward ,,48,,Brownfield,,,,,,,,,,,,Complete,,0,,,,,,,,,,,,
289,BLF020,Hawthorne Road (Onward),Onward ,Sefton,In Delivery,0,,Onward ,,67,,Brownfield,,,,,,,,,,,,2025-09-01 00:00:00,,0,,,"Multiple land owners, stalled sites, site viability, ground conditions",,,,,,,,,
290,BLF021,Greenleas,Onward ,Wirral,Complete,0,,Onward ,,13,,Brownfield,,,,,,,,,,,,Complete,,0,,,,,,,,,,,,
291,BLF022,Dye House ,Onward ,Knowsley,In Delivery,0,,Onward ,,45,,Brownfield,,,,,,,,,,,,2026-09-01 00:00:00,,0,,,,,,,,,,,,
292,BLF023,Johnsons,Plus Dane,Sefton,In Delivery,0,,Plus Dane,,104,,Brownfield,,,,,,,,,,,,2026-04-01 00:00:00,,0,,,,,,,,,,,,
273,BLF004,Stonedale,Cobalt,Liverpool,In Delivery,0,,Cobalt,"Former Police Headquarters in prominent Liverpool Location. Likely to include Resi, hotel, retail, leisure and commercial ",45,,Brownfield,,,,,,,,,,,,2027-06-01 00:00:00,,0,,,,,,,,,,,,
294,BLF025,Palacefields ,Riverside ,Halton,In Delivery,0,,Riverside ,,108,,Brownfield,,,,,,,,,,,,2027-10-01 00:00:00,,0,,,,,,,,,,,,
295,BLF026,Buckley Hill ,Sandway ,Sefton,In Delivery,0,,Sandway ,,63,,Brownfield,,,,,,,,,,,,2025-07-01 00:00:00,,0,,,,,,,,,,,,
296,BLF027,Bootle High ,Sandway ,Sefton,In Delivery,0,,Sandway ,"Proposed development of 180 high density housing. Site currently comprises of Council held industrial estate, which is in poor condition with structural conditions.",53,,Brownfield,,,,,,,,,,,,,,0,,,,,,,,,,,,
274,BLF005,Showcase,Cobalt,Liverpool,In Delivery,0,,Cobalt,,88,,Brownfield,,,,,,,,,,,,2025-05-01 00:00:00,,0,,,,,,,,,,,,
282,BLF013,Paddington,Liverpool,Liverpool,In Delivery,0,,LCC,,224,,Brownfield,,,,,,,,,,,,,,0,,,,,,,,,,,,
283,BLF014,Denfrord Road ,LCC/ Riverside ,Liverpool,Complete,0,,LCC/ Riverside ,,105,,Brownfield,,,,,,,,,,,,Complete,,0,,,,,,,,,,,,
300,BLF032,Atlas Street ,Torus ,St Helens,In Delivery,0,,Torus ,,66,,Brownfield,,,,,,,,,,,,2026-05-01 00:00:00,,0,,,"Multiple land owners, stalled sites, site viability, ground conditions",,,,,,,,,
293,BLF024,Grove Street ,Regenda,Liverpool,In Delivery,0,,Regenda,This a package deal from the Quinntana Group who is packaging the land and build for 26 cottage style apartment. The scheme has previously had planning in 2010 for 16 dwellings but the scheme never came to fruition for Helena Housing.  As part of due diligence Quinntana and sought several build prices with PJM Construction providing the most competitive cost. ,160,,Brownfield,,,,,,,,,,,,2026-04-01 00:00:00,,0,,,,,,,,,,,,
302,BLF034,Moss Nook P3,Torus ,St Helens,In Delivery,0,WA10 3XL,Torus ,,295,,Brownfield,,,,,,,,,,,,2027-12-01 00:00:00,,0,,,,,,,,,,,,
303,BLF035,The Quadrant ,Torus ,Wirral,In Delivery,0,,Torus ,,40,,Brownfield,,,,,,,,,,,,2026-04-01 00:00:00,,0,,,,,,,,,,,,
304,BLF036,Parr Mount Court ,Torus ,St Helens,In Delivery,0,WA9 1SH,Torus ,,32,,Brownfield,,,,,,,,,,,,2025-11-01 00:00:00,,0,,,,,,,,,,,,
305,BLF038,Manor Street,YHG,St Helens,Complete,0,WA9 3AY,YHG,,46,,Brownfield,,,,,,,,,,,,Complete ,,0,,,,,,,,,,,,
306,PBH001,Wellington Street,,Halton ,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
307,PBH002,Thomas Street ,,Halton ,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
308,PBH003,Hillside and Pennard ,,Knowsley,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
309,PBH004,Pennard and Woodfall ,,Knowsley ,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
297,BLF028,South Parade ,SLH ,Liverpool,In Delivery,0,,SLH ,,82,,Brownfield,,,,,,,,,,,,2026-09-01 00:00:00,,0,,"Viability Gap for remediation, technical design development and affordable delivery ",,,,,,,,,,
298,BLF029,Springfield Gardens,Step Places,Liverpool,In Delivery,0,,Step Places,,98,,Brownfield,,,,,,,,,,,,2026-01-01 00:00:00,,0,,,,,,,,,,,,
312,PBH007,Rawson Road Primary ,,Sefton ,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
313,PBH008,Viola Street and Bedford Road ,,Sefton ,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
314,PBH009,Parlane Street and O'Keefe Street ,,St Helens,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
315,PBH010,Eldon Street ,,St Helens,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
316,PBH011,Howson Street ,,Wirral ,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
317,PBH012,Pearson Road ,,Wirral ,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
299,BLF031,The Vaults ,Torus ,Liverpool,In Delivery,0,,Torus ,,64,,Brownfield,,,,,,,,,,,,2025-10-01 00:00:00,,0,,,,,,,,,,,,
301,BLF033,Lightbody Street,Torus ,Liverpool,In Delivery,0,L5 9AD,Torus ,"Hartley Docks , 195 RTB Scheme. 185 Apartments, 10 Townhouses. First scheme to Mersey Heat district heating network ",195,,Brownfield,,,,,,,,,,,,2025-10-01 00:00:00,,0,,,,,,,,,,,,
310,PBH005,Hayfield Triangle ,,Liverpool ,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
85,RP090,The Meadows Additional ,Cobalt,Knowsley,,0,,Cobalt,,10,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
85,RP091,Jubits Lane,Cobalt,St Helens,,0,,Cobalt,,78,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
85,RP092,Rainbow Fields s106,Cobalt,Sefton,,0,,Cobalt,,25,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
85,RP093,Edge Lane Thornton Extra Care ,Cobalt,Sefton,,0,,Cobalt,,50,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
85,RP094,Edge Lane Thornton S106,Cobalt,Sefton,,0,,Cobalt,,25,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
311,PBH006,Toft Street,,Liverpool ,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,LIV033,Festival Gardens (Exc Affordable),,Liverpool,Long,0,,Igloo,Rest of the site minus Reganda affordable ,700,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,64425,,,,,,,,,,,,,,,,,2750000,,,,,,,,,,,
