Mapping Ref,Ref,Project Name ,Sponsor ,LA,Pipeline First Cut ,Known HE involvement?,Postcode,Developer ,One Line Summary ,Number Of Units ,Site Size (hectares),Greenfield/Brownfield,Place-based Pipeline Y/N,Place-based Pipeline Link,Mix,SPP Priority Area Y/N,SPP Priority Area,Planning  Status ,Developer Status ,Land Ownership Type ,Procurement Route ,Enabling Works Start,Housing Start,Project Completion Date ,Market Failure Type,Intervention Required?,Revenue / Development Ask ,Intervention Type,Constraints,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
208,SEF030,NHS Hoghton Street,Sefton,Sefton,Medium,0,PR9 0PN,Ironshore,27 unit site in Southport Town Centre,27,0.18,Brownfield,Yes,Sefton LCWIP,"70% Market, 24% Social/affordable rent and 6% intermediate affordable",Yes,Southport Town Centre,"No Allocation, No Planning Permission, expired permission or other ",D/C/RP procurement/negotiations underway,Single Private,,2027/28,2028/29,2030/31,Public good issue,1,,Viability gap,Anticipated viability gap due to high costs/relatively low market values (primarily due to lack of established residential market in the town centre),,,,,,,,,
209,SEF031,"Hawthorne Grove, Southport",Sefton,Sefton,Short,1,PR9 7AA,Plus Dane,"22 unit site in Southport, Plus Dane have agreed purchase with land owner.",22,0.24,Brownfield,No,,100% affordable,No,,Full/RM Consent in Place,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Single Private,,2025/26,2026/27,2027/28,Public good issue,1,,Remediation - viability,"Remediation required on site, anticipated viability gap due to high costs",,,,,,,,,
210,SEF032,"Poulsom Drive, Netherton",Sefton,Sefton,Medium,1,L30 2NR,Plus Dane,"18 unit site, 100% affordable.",18,0.16,Brownfield,No,,100% affordable,No,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Single Private,,2027/28,2027/28,2028/29,Public good issue,1,,Viability gap,"Demolition of existing building required. Small site in a  low value area, which could impact viability. Potential contamination issues and proximity to the canal may present some issues - unknown at this stage",,,,,,,,,
211,SEF033,Kew Extra Care,Sefton,Sefton,Short,1,PR8 6UX,Torus ,"""The development stalled in April 2022 after the initial contractor became insolvent.  At the point works ceased on site, the drainage and foundations had been laid. Magenta has struggled to remobilise this project due to a significant viability gap which would have resulted in an impairment.  We engaged with a regional developer in 2022 with a view to remobilising the site, however the costs submitted were not viable, even with additional grant from Homes England and the Brownfield Land Fund.  The Homes England AHP 21-26 allocation we had secured was to provide Shared Ownership homes, however this grant was reallocated to another project after the delays to Redcourt meant we would not be able to achieve the AHP deadline.  EoI submitted to LCR CA for BLF 2025 gap year funding.

Following many financial appraisals testing various tenures and approaches, the decision was made to convert the proposed tenure to PRS as the best performing tenure.  The Local Authority has been made aware as this will require an amendment to be submitted to planning.""				",139,4.5,Brownfield,No,,100% affordable,No,,Full/RM Consent in Place,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Single Private,,2025/26,2025/26,2027/28,Public good issue,1,,Viability gap,There is an evidenced viability gap that has been a barrier to delivery to date,,,,,,,,,
212,SEF034,"Well Lane, Bootle",Sefton,Sefton,Short,1,L20 3RF,Jigsaw,21 unit site in Bootle Town Centre.,21,0.2,Brownfield,Yes,Bootle Town Centre,100% affordable,Yes,Bootle Town Centre,Full/RM Consent in Place,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Single Private,,2026/27,2026/27,2027/28,Public good issue,1,,Viability gap,"Contamination issues, existing well on site, substation required",,,,,,,,,
213,SEF035,Former Balliol House,Sefton,Sefton,Long,0,L20 7BD,,44 unit site under Council ownership in Bootle Area Action Plan,44,0.29,Brownfield,Yes,Sefton LCWIP,"85% Market, 7.5% Intermediate affordable and 7.5% Social/Affordable.",Yes,Bootle Town Centre,"No Allocation, No Planning Permission, expired permission or other ",No Developer/Contractor/RP in place,Public,,2028/29,2029/30,2031/32,Public good issue,1,50000,Viability gap,"Potential development constraints are unknown, but the area is generally low value and it is likely there will be viability issues",,,,,,,,,
214,SEF036,A565 Regent Rd Area,Sefton,Sefton,Long,0,L20 8AN,,Potential for 998 uits across Bootle and Sandhills Industrial Area,998,38,Brownfield,Yes,Sefton LCWIP,"85% Market, 7.5% Intermediate affordable and 7.5% Social/Affordable.",Yes,North Liverpool Regeneration,"No Allocation, No Planning Permission, expired permission or other ",No Developer/Contractor/RP in place,Mixed - Public/Private ,,2033/34,2025/26,2040/41,Public good issue,1,150000,"Masterplanning, feasibility, anticipated viability gap","Multiple land owners, interests and live commercial uses",,,,,,,,,
215,SEF037,Sentinel Way,Sefton,Sefton,Short,0,L30 6UR,Your Housing Group,54 unit affordable housing scheme with planning permission.,54,2.1,Brownfield,No,,100% affordable,No,,Full/RM Consent in Place,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Single Private,,2026/27,2026/27,2028/29,Public good issue,1,,Viability gap,"Site viability, ground conditions",,,,,,,,,
216,SEF038,Lord Street Living,Sefton,Sefton,,0,PR8 1NH,,"Potential 313 units on Lord Street, protecting and enhancing the areas heritage.",313,,Brownfield,Yes,Southport Town Centre,Majority market-led for rental or sale,Yes,Southport Town Centre,"No Allocation, No Planning Permission, expired permission or other ",No Developer/Contractor/RP in place,Mixed - Public/Private ,,,,,Public good issue,1,TBC,Viability gap,Challenges with converting heritage assets into suitable residential accommodation and attracting investment.,,,,,,,,,
217,WIR001,Conway Park East (Vue Cinema Site),Wirral,Wirral,Long,0,CH41 4PE,,93 homes site in Birkenhead Town Centre Masterplan.,93,1.24,Brownfield,No,,"Policy WS 3.3, within Viability Zones 1 (VZ-1) and 2 (VZ-2),  new-build market housing of 10 or more dwellings >  tenure blind affordable housing within the site at 10%.",Yes,Central Birkenhead,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,No Developer/Contractor/RP in place,Public,,,2029,2031,Market power,0,,"Remediation, site investigations, design and viability gap",Viability,,,,,,,,,
